107 CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250
108 CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250
109 CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250
110 CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060
111 CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805
112 CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565
113 CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565
114 CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960
115 CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960
116 CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960
117 CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960
118 CA-2015-110457,03-02-2015,03-06-2015,Standard Class,DK-13090
119 US-2015-136476,04-05-2015,04-10-2015,Standard Class,GG-14650
120 CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725
121 CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725
122 CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725
123 CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725
124 CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725
125 US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180
126 US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165
127 US-2017-107272,11-05-2017,11-12-2017,Standard Class,TS-21610
128 US-2017-107272,11-05-2017,11-12-2017,Standard Class,TS-21610
129 US-2016-125969,11-06-2016,11-10-2016,Second Class,LS-16975
130 US-2016-125969,11-06-2016,11-10-2016,Second Class,LS-16975
131 US-2017-164147,02-02-2017,02-05-2017,First Class,DW-13585
132 US-2017-164147,02-02-2017,02-05-2017,First Class,DW-13585
133 US-2017-164147,02-02-2017,02-05-2017,First Class,DW-13585
134 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
135 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
136 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
137 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
138 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
139 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
140 CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
141 CA-2016-110366,09-05-2016,09-07-2016,Second Class,JD-15895
142 CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975
143 CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975
144 CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975
145 CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080
146 CA-2015-110744,09-07-2015,09-12-2015,Standard Class,HA-14920
147 CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680
148 CA-2016-114489,12-05-2016,12-09-2016,Standard Class,JE-16165
149 CA-2016-114489,12-05-2016,12-09-2016,Standard Class,JE-16165
150 CA-2016-114489,12-05-2016,12-09-2016,Standard Class,JE-16165
151 CA-2016-114489,12-05-2016,12-09-2016,Standard Class,JE-16165
152 CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025
153 CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025
154 CA-2015-124919,5/31/2015,06-02-2015,First Class,SP-20650
155 CA-2015-124919,5/31/2015,06-02-2015,First Class,SP-20650
156 CA-2015-124919,5/31/2015,06-02-2015,First Class,SP-20650
157 CA-2015-118948,5/28/2015,06-03-2015,Standard Class,NK-18490
158 CA-2014-104269,03-01-2014,03-06-2014,Second Class,DB-13060
,,Page 3,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
159 CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670
160 CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670
161 CA-2016-162733,05-11-2016,05-12-2016,First Class,TT-21070
162 CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960
163 CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900
164 CA-2016-113817,11-07-2016,11-11-2016,Standard Class,MJ-17740
165 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
166 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
167 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
168 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
169 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
170 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
171 CA-2014-139892,09-08-2014,09-12-2014,Standard Class,BM-11140
172 CA-2014-118962,08-05-2014,08-09-2014,Standard Class,CS-12130
173 CA-2014-118962,08-05-2014,08-09-2014,Standard Class,CS-12130
174 CA-2014-118962,08-05-2014,08-09-2014,Standard Class,CS-12130
175 US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400
176 US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400
177 US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500
178 US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745
179 US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745
180 CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640
181 CA-2014-166191,12-05-2014,12-09-2014,Second Class,DK-13150
182 CA-2014-166191,12-05-2014,12-09-2014,Second Class,DK-13150
183 CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675
184 CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675
185 CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675
186 CA-2016-105018,11/28/2016,12-02-2016,Standard Class,SK-19990
187 CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290
188 CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360
189 CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360
190 CA-2015-102281,10-12-2015,10/14/2015,First Class,MP-17470
191 CA-2015-102281,10-12-2015,10/14/2015,First Class,MP-17470
192 CA-2015-102281,10-12-2015,10/14/2015,First Class,MP-17470
193 CA-2015-102281,10-12-2015,10/14/2015,First Class,MP-17470
194 CA-2015-102281,10-12-2015,10/14/2015,First Class,MP-17470
195 CA-2015-131457,10/31/2015,11-06-2015,Standard Class,MZ-17515
196 CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025
197 CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025
198 CA-2017-107720,11-06-2017,11/13/2017,Standard Class,VM-21685
199 US-2017-124303,07-06-2017,7/13/2017,Standard Class,FH-14365
200 US-2017-124303,07-06-2017,7/13/2017,Standard Class,FH-14365
201 CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305
202 CA-2014-133690,08-03-2014,08-05-2014,First Class,BS-11755
203 CA-2014-133690,08-03-2014,08-05-2014,First Class,BS-11755
204 US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140
205 CA-2017-126382,06-03-2017,06-07-2017,Standard Class,HK-14890
206 CA-2017-108329,12-09-2017,12/14/2017,Standard Class,LE-16810
207 CA-2017-135860,12-01-2017,12-07-2017,Standard Class,JH-15985
208 CA-2017-135860,12-01-2017,12-07-2017,Standard Class,JH-15985
209 CA-2017-135860,12-01-2017,12-07-2017,Standard Class,JH-15985
210 CA-2017-135860,12-01-2017,12-07-2017,Standard Class,JH-15985
211 CA-2017-135860,12-01-2017,12-07-2017,Standard Class,JH-15985
,,Page 4,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
212 CA-2015-101007,02-09-2015,2/13/2015,Second Class,MS-17980
213 CA-2015-146262,01-02-2015,01-09-2015,Standard Class,VW-21775
214 CA-2015-146262,01-02-2015,01-09-2015,Standard Class,VW-21775
215 CA-2015-146262,01-02-2015,01-09-2015,Standard Class,VW-21775
216 CA-2015-146262,01-02-2015,01-09-2015,Standard Class,VW-21775
217 CA-2015-146262,01-02-2015,01-09-2015,Standard Class,VW-21775
218 CA-2016-130162,10/28/2016,11-01-2016,Standard Class,JH-15910
219 CA-2016-130162,10/28/2016,11-01-2016,Standard Class,JH-15910
220 CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
221 CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
222 CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
223 CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
224 CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
225 CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
226 CA-2015-163055,08-09-2015,8/16/2015,Standard Class,DS-13180
227 CA-2015-163055,08-09-2015,8/16/2015,Standard Class,DS-13180
228 CA-2015-163055,08-09-2015,8/16/2015,Standard Class,DS-13180
229 US-2015-145436,2/28/2015,03-04-2015,Standard Class,VD-21670
230 US-2015-145436,2/28/2015,03-04-2015,Standard Class,VD-21670
231 US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035
232 US-2017-100930,04-07-2017,04-12-2017,Standard Class,CS-12400
233 US-2017-100930,04-07-2017,04-12-2017,Standard Class,CS-12400
234 US-2017-100930,04-07-2017,04-12-2017,Standard Class,CS-12400
235 US-2017-100930,04-07-2017,04-12-2017,Standard Class,CS-12400
236 US-2017-100930,04-07-2017,04-12-2017,Standard Class,CS-12400
237 CA-2017-160514,11-12-2017,11/16/2017,Standard Class,DB-13120
238 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
239 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
240 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
241 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
242 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
243 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
244 CA-2016-157749,06-04-2016,06-09-2016,Second Class,KL-16645
245 CA-2014-131926,06-01-2014,06-06-2014,Second Class,DW-13480
246 CA-2014-131926,06-01-2014,06-06-2014,Second Class,DW-13480
247 CA-2014-131926,06-01-2014,06-06-2014,Second Class,DW-13480
248 CA-2014-131926,06-01-2014,06-06-2014,Second Class,DW-13480
249 CA-2014-131926,06-01-2014,06-06-2014,Second Class,DW-13480
250 CA-2016-154739,12-10-2016,12/15/2016,Second Class,LH-17155
251 CA-2016-145625,09-11-2016,9/17/2016,Standard Class,KC-16540
252 CA-2016-145625,09-11-2016,9/17/2016,Standard Class,KC-16540
253 CA-2016-146941,12-10-2016,12/13/2016,First Class,DL-13315
254 CA-2016-146941,12-10-2016,12/13/2016,First Class,DL-13315
255 US-2015-159982,11/28/2015,12-04-2015,Standard Class,DR-12880
256 US-2015-159982,11/28/2015,12-04-2015,Standard Class,DR-12880
257 US-2015-159982,11/28/2015,12-04-2015,Standard Class,DR-12880
258 US-2015-159982,11/28/2015,12-04-2015,Standard Class,DR-12880
259 CA-2017-163139,12-01-2017,12-03-2017,Second Class,CC-12670
260 CA-2017-163139,12-01-2017,12-03-2017,Second Class,CC-12670
261 CA-2017-163139,12-01-2017,12-03-2017,Second Class,CC-12670
262 US-2017-155299,06-08-2017,06-12-2017,Standard Class,Dl-13600
263 US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290
264 US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290
,,Page 5,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
265 CA-2016-125318,06-06-2016,6/13/2016,Standard Class,RC-19825
266 CA-2015-155040,11-10-2015,11/15/2015,Standard Class,AH-10210
267 CA-2017-136826,6/16/2017,6/20/2017,Standard Class,CB-12535
268 CA-2016-111010,1/22/2016,1/28/2016,Standard Class,PG-18895
269 US-2017-145366,12-09-2017,12/13/2017,Standard Class,CA-12310
270 US-2017-145366,12-09-2017,12/13/2017,Standard Class,CA-12310
271 CA-2017-163979,12/28/2017,01-02-2018,Second Class,KH-16690
272 CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920
273 CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920
274 CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920
275 CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990
276 CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990
277 CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495
278 CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495
279 CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495
280 CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495
281 US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725
282 US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725
283 CA-2015-130890,11-02-2015,11-06-2015,Standard Class,JO-15280
284 CA-2015-130883,9/26/2015,10-02-2015,Standard Class,TB-21520
285 CA-2015-130883,9/26/2015,10-02-2015,Standard Class,TB-21520
286 CA-2015-130883,9/26/2015,10-02-2015,Standard Class,TB-21520
287 CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195
288 CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195
289 CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195
290 CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
291 CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
292 CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
293 CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
294 CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
295 CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
296 CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
297 CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
298 CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
299 CA-2016-142545,10/28/2016,11-03-2016,Standard Class,JD-15895
300 CA-2016-142545,10/28/2016,11-03-2016,Standard Class,JD-15895
301 CA-2016-142545,10/28/2016,11-03-2016,Standard Class,JD-15895
302 CA-2016-142545,10/28/2016,11-03-2016,Standard Class,JD-15895
303 CA-2016-142545,10/28/2016,11-03-2016,Standard Class,JD-15895
304 US-2017-152380,11/19/2017,11/23/2017,Standard Class,JH-15910
305 CA-2015-144253,05-04-2015,05-09-2015,Second Class,AS-10225
306 CA-2014-130960,12/30/2014,01-04-2015,Standard Class,KB-16600
307 CA-2014-111003,06-01-2014,06-06-2014,Standard Class,CR-12625
308 CA-2014-111003,06-01-2014,06-06-2014,Standard Class,CR-12625
309 CA-2017-126774,4/15/2017,4/17/2017,First Class,SH-20395
310 CA-2016-142902,09-12-2016,9/14/2016,Second Class,BP-11185
311 CA-2016-142902,09-12-2016,9/14/2016,Second Class,BP-11185
312 CA-2016-142902,09-12-2016,9/14/2016,Second Class,BP-11185
313 CA-2016-142902,09-12-2016,9/14/2016,Second Class,BP-11185
314 CA-2014-120887,9/27/2014,10-03-2014,Standard Class,TS-21205
315 CA-2014-167850,08-09-2014,8/16/2014,Standard Class,AG-10525
316 CA-2014-167850,08-09-2014,8/16/2014,Standard Class,AG-10525
317 CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860
,,Page 6,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
318 CA-2014-164973,11-04-2014,11-09-2014,Standard Class,NM-18445
319 CA-2014-164973,11-04-2014,11-09-2014,Standard Class,NM-18445
320 CA-2014-164973,11-04-2014,11-09-2014,Standard Class,NM-18445
321 CA-2014-164973,11-04-2014,11-09-2014,Standard Class,NM-18445
322 CA-2014-164973,11-04-2014,11-09-2014,Standard Class,NM-18445
323 CA-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230
324 CA-2016-162138,4/23/2016,4/27/2016,Standard Class,GK-14620
325 CA-2016-162138,4/23/2016,4/27/2016,Standard Class,GK-14620
326 CA-2017-153339,11-03-2017,11-05-2017,Second Class,DJ-13510
327 US-2016-141544,8/30/2016,09-01-2016,First Class,PO-18850
328 US-2016-141544,8/30/2016,09-01-2016,First Class,PO-18850
329 US-2016-141544,8/30/2016,09-01-2016,First Class,PO-18850
330 US-2016-141544,8/30/2016,09-01-2016,First Class,PO-18850
331 US-2016-141544,8/30/2016,09-01-2016,First Class,PO-18850
332 US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850
333 US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850
334 US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850
335 CA-2015-137946,09-01-2015,09-04-2015,Second Class,DB-13615
336 CA-2015-137946,09-01-2015,09-04-2015,Second Class,DB-13615
337 CA-2015-137946,09-01-2015,09-04-2015,Second Class,DB-13615
338 CA-2014-129924,07-12-2014,7/17/2014,Standard Class,AC-10420
339 CA-2014-129924,07-12-2014,7/17/2014,Standard Class,AC-10420
340 CA-2015-128167,6/22/2015,6/26/2015,Second Class,KL-16645
341 CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895
342 CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895
343 CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895
344 CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895
345 US-2015-120712,12/20/2015,12/24/2015,Standard Class,CS-12130
346 CA-2017-169901,6/15/2017,6/19/2017,Standard Class,CC-12550
347 CA-2017-134306,07-08-2017,07-12-2017,Standard Class,TD-20995
348 CA-2017-134306,07-08-2017,07-12-2017,Standard Class,TD-20995
349 CA-2017-134306,07-08-2017,07-12-2017,Standard Class,TD-20995
350 CA-2016-129714,09-01-2016,09-03-2016,First Class,AB-10060
351 CA-2016-129714,09-01-2016,09-03-2016,First Class,AB-10060
352 CA-2016-129714,09-01-2016,09-03-2016,First Class,AB-10060
353 CA-2016-129714,09-01-2016,09-03-2016,First Class,AB-10060
354 CA-2016-129714,09-01-2016,09-03-2016,First Class,AB-10060
355 CA-2016-138520,04-08-2016,4/13/2016,Standard Class,JL-15505
356 CA-2016-138520,04-08-2016,4/13/2016,Standard Class,JL-15505
357 CA-2016-138520,04-08-2016,4/13/2016,Standard Class,JL-15505
358 CA-2016-138520,04-08-2016,4/13/2016,Standard Class,JL-15505
359 CA-2016-130001,4/23/2016,4/28/2016,Standard Class,HK-14890
360 CA-2017-155698,03-08-2017,03-11-2017,First Class,VB-21745
361 CA-2017-155698,03-08-2017,03-11-2017,First Class,VB-21745
362 CA-2017-144904,9/25/2017,10-01-2017,Standard Class,KW-16435
363 CA-2017-144904,9/25/2017,10-01-2017,Standard Class,KW-16435
364 CA-2017-144904,9/25/2017,10-01-2017,Standard Class,KW-16435
365 CA-2017-144904,9/25/2017,10-01-2017,Standard Class,KW-16435
366 CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060
367 CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
368 CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
369 CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
370 CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
,,Page 7,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
371 CA-2017-104745,5/29/2017,06-04-2017,Standard Class,GT-14755
372 CA-2017-104745,5/29/2017,06-04-2017,Standard Class,GT-14755
373 US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900
374 US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900
375 US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900
